"RT @gebrat_wedi: “Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow @IATA…",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow… https://t.co/tWorcLxkTX",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow… https://t.co/DpaCwejKB6",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide""  @IATA @icao @ICAOMID… https://t.co/SMw5Cg0EzI",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/dZbOvRNcsf",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/BBiUJYs6IK",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/csZJ9id7fU",positive
@airfrance I filled that form out in August,positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/gM69ndq5E6",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/24zhiWAUEm",positive
"@nordbergj “Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""… https://t.co/RQYNZe83oc",positive
"Hi, I'm doing online checking now, it shows that I can't Code:020.1195 @AirFranceAR @AirFranceFR @airfrance",neutral
"@scottygib @CorkAirport @Ryanair @AerLingus Luckily @airfrance are back with 2 daily flights from Apr 22, there'll… https://t.co/qqoguUD7Vx",positive
@AirFranceFR @airfrance @AirFranceUS @AirFranceUK Who will be coming with this US citizen to the Moroccan courts be… https://t.co/tx8CygxzCp,neutral
@AirFranceFR @airfrance @AirFranceUS @AirFranceUK Missing my sister's wedding because of incompetence. WRCZZR - no… https://t.co/swlxKGSzCC,negative
"@AirFranceFR @airfrance @AirFranceUS @AirFranceUK AF stole $650 from me for reservation: WRCZZR. No ticket issued,… https://t.co/BYnmNPoLjJ",neutral
"RT @SecretFlying: #Frankfurt, Germany to Johannesburg, South Africa for only €360 roundtrip with @AirFrance #Travel (Dec-May dates)  https:…",neutral
"#Frankfurt, Germany to Johannesburg, South Africa for only €360 roundtrip with @AirFrance #Travel (Dec-May dates)… https://t.co/Z0waW480H6",neutral
"RT @sandeeprrao1991: Welcome back to #Bengaluru, @airfrance Airbus A350! Good to see you, once again♥️🤩  #Avgeek #BLR #CDG #AF194 #KIA #BLR…",positive
RT @nilolan: Coming up on the two month anniversary of @airfrance  @AirFranceUS losing my luggage and they still haven't bothered to respon…,neutral
@airfrance I have sent you a Dm. The return flight have been cancelled without notifying me and I cannot change boo… https://t.co/SwEicAmndo,neutral
I want to thank the @airfrance agent who worked hard up to the closing of the gate in Paris to get me on my flight.… https://t.co/GzUtmPWyOA,negative
@airfrance can you please be a professional.I made a voucher refund request since 19th of September and not a singl… https://t.co/iMe4d4ZPQb,positive
"RT @Amaka08474711: @AirFranceNG @airfrance @AirFranceKLM Impossible to reach your contact numbers, how do I get my NGN (Naira) fare so I ca…",negative
@sandeeprrao1991 @landais_cedric @airfrance Hello BLR ! happy too,positive
"@AirFranceNG @airfrance @AirFranceKLM Impossible to reach your contact numbers, how do I get my NGN (Naira) fare so… https://t.co/Yd7d38zmWj",negative
"Sunrise at Le Castellet, France. Image shot with @NikonFR @NikonEurope equipment. Edited with @Adobe Photoshop 2021… https://t.co/EvWR3XTTkn",neutral
@airfrance Hi! Can I travel with my medications? Like insulin? @airfrance,neutral
@UnitedAirlines_ @staralliance @lufthansa @lufthansaNews @airfrance @JetBlue @SouthwestAir @Delta @AmericanAir… https://t.co/cSg1vPA4bp,neutral
"@airfrance I booked a ticket with Air France to travel to Douala, Cameroon. I've been trying to add bags to my trip… https://t.co/4XJBB5gpOw",neutral
@Rksoni41 @airfrance We regret the inconvenience caused to you. Kindly share your baggage tag/ reference details vi… https://t.co/eWWsr6B6As,positive
@airfrance STOP TRANSPORTING MONKEYS TO BE TORTURED IN TESTING LABS,neutral
seriously @airfrance ???  lock tampered and most articles missing!? https://t.co/ht683BnS5y,negative
@BamBamBambrick @blhorowitz @ChristosArgyrop @Delta @airfrance I had the same problem with a different airline. So… https://t.co/2GH6oalV4H,neutral
"@francediplo_EN @franceintheus @airfrance @EmmanuelMacron This will be a very hard week, my monthly allotment of ca… https://t.co/OLaYZnm9s5",negative
